Store Name,Address,Timings,Latitude,Longitude,Phone Number
Westside - A Unit Of Trent Limited - Wave Mall,Westside - A Unit Of Trent Limited - Wave Mall; Ferozepur Road; Ludhiana - 141001; Punjab,11:00 AM TO 9:00 PM,30.88551118158411,75.7862026151352,7696076077
The Gallaeria,The Gallaeria; Near Big Bazaar;Sri Ram City; Kola Kusma Road;Sugiadih; Lohar Kulli; Saraidhella,11:00 AM TO 9:00 PM,23.820930391996388,86.46759241445712,2267009000
Shop No. 148/239,Shop No. 148/239; Iscon Mega Mall - Next To Iskcon Temple; Near Rajpath Rangoli Road; Ahmedabad - 380054; Gujarat,10:00 AM TO 8:00 PM,23.031044584948837,72.50555321496789,8866010015
Free Charge Payment Tech. Pvt Ltd.,Free Charge Payment Tech. Pvt Ltd.;100 Feet Road; Hal 2Nd Stage; Doopanahalli Domlur,11:00 AM TO 9:00 PM,12.96792695320085,77.57814722362097,2267009000
No 560,No 560; New Kantharaj Urs Road - Next To Karnataka Bank; Saraswathipuram; Mysuru - 570023; Karnataka,Closed,12.296097691301567,76.62145051481501,0821-2340150/51
Westside - A Unit Of Trent Limited - Iscon Mall,Westside - A Unit Of Trent Limited - Iscon Mall; Opp. Rajhans Theatre; Surat-Dumas Road; Surat - 395007; Gujarat,10:00 AM TO 8:00 PM,21.161988885926323,72.7720814149349,7045747066
N/19,N/19; Jessore Road South;North 24 Pgs; ;Near Croma Showroom,11:00 AM TO 9:00 PM,22.711358933587796,88.47493051443655,2267009000
Grand Galleria Global City,Grand Galleria Global City;Near Yazzo Park; Narangi Bypass Road;Virar,11:00 AM TO 9:00 PM,19.293514963771827,72.74827957241746,2267009000
Westside - A Unit Of Trent Limited Plot No 21 Plot No 21 - City Pulse Mall,Westside - A Unit Of Trent Limited Plot No 21 Plot No 21 - City Pulse Mall; Narayan Singh Road; Jaipur - 302004; Rajasthan,Closed,26.899750683133185,75.81145671504464,9772104433
Arbit 11,Arbit 11; Opp. Hotel Park Regency;Park Road; Civil Lines,11:00 AM TO 9:00 PM,26.75289408319672,83.37682831432093,2267009000
Gf,Gf; Golden Plaza;Near Aura Mall; Gulmohar,11:00 AM TO 9:00 PM,23.189908700000025,77.39877417910157,2267009000
Westside - A Unit Of Trent Limited - Pacific Mall,Westside - A Unit Of Trent Limited - Pacific Mall; Plot No 1; Site No Iv Sahibabad Ind. Area; Ghaziabad - 201010; Uttar Pradesh,Closed,28.64628398241236,77.3172892150829,0120-2778511-17
Prabhatam Grand Mall,Prabhatam Grand Mall;Dhaiya - Barwadaa Road;Chanchani Colony,11:00 AM TO 9:00 PM,23.829359891673448,86.43117301445734,2267009000
The Gariahat Mall - 13,The Gariahat Mall - 13; Jamir Lane; Kolkata - 700019; West Bengal,11:00 AM TO 8:00 PM,22.521659885208948,88.36890721495865,8981080464
Dsr Woodwinds 83,Dsr Woodwinds 83;11 & 84 Sarjapur Main Road; Bellandur,11:00 AM TO 9:00 PM,12.910522890895987,77.68534651403476,2267009000
Westside - A Unit Of Trent Limited - Monalisa Centrum,Westside - A Unit Of Trent Limited - Monalisa Centrum; Off Race Course Road; Next To Inox Multiplex; Hari Nagar; Vadodara - 390007; Gujarat,10:00 AM TO 8:00 PM,22.312486585317213,73.15592111495498,8866004419
Sarbahal Road,Sarbahal Road;Near Vishal Mega Mart; Marwari Para,11:00 AM TO 9:00 PM,21.84835146467017,84.01113651442127,2267009000
Westside - A Unit Of Trent Limited - Cts/15,Westside - A Unit Of Trent Limited - Cts/15; Opp To Hockey Ground; Garuda Mall;Magrath Road; Ashok Nagar; Bangalore - 560025; Karnataka,Closed,12.970306890856723,77.60714961482194,9513022018
Infiniti Mall Near Raheja Classic Complex Oshiwara - Phase D,Infiniti Mall Near Raheja Classic Complex Oshiwara - Phase D; Shastri Nagar; Andheri West; Mumbai - 400058; Maharashtra,12:00 PM TO 9:00 PM,19.14112118705066,72.8289189149022,7208010455
Prestige North Point,Prestige North Point; 4M; 403;Kammanahalli Main Road;Hrbr Layout 3Rd Floor; Kalyan Nagar,11:00 AM TO 9:00 PM,13.023276140821945,77.6352253140363,2267009000
17,17; Race Course Road - Opp. Basketball Club; Near Narayan Kothi; New Palasia; Indore - 452003; Madhya Pradesh,11:00 AM TO 9:00 PM,22.72649058510374,75.87761131496235,9229258200
Surendra Bhavan,Surendra Bhavan;A T Road,11:00 AM TO 9:00 PM,26.75460287332079,94.18002811451717,2267009000
Shilp Zaveri,Shilp Zaveri; Shyamal Char Rasta;Opp. Retreat Tower; Satelite,11:00 AM TO 9:00 PM,23.014943784956884,72.52864641422481,2267009000
L-1,L-1; Ground Floor; Wave Mall; Sector 18; Noida - 201301; Uttar Pradesh,Closed,28.56785998244343,77.32059871508109,9811075682
Shalimar Mall,Shalimar Mall;Alambaug Bus Stand,11:00 AM TO 9:00 PM,26.819245570565084,80.90525931451862,2267009000
Pacific Mall,Pacific Mall; Netaji Subhas Palace;Pink Line Metro Station;Pitampura,11:00 AM TO 9:00 PM,28.67043720386025,77.09365829030669,2267009000
Vattakunnel House,Vattakunnel House;K K Road,11:00 AM TO 9:00 PM,9.589368493133422,76.52907251399516,2267009000
Galaxy Blue Sapphire Plaza ,Galaxy Blue Sapphire Plaza ; C-03 ;Sector -04;Near Gaur City Mall;Greater Noida,11:00 AM TO 9:00 PM,28.607331882427754,77.43483791437353,2267009000
Lulu Mall,Lulu Mall;;Sushant Golf City;Shaheed Path Road,11:00 AM TO 9:00 PM,26.784230700000005,80.95637187910158,2267009000
Metro Junction Mall,Metro Junction Mall;Netivali Baugh; Shil Road,11:00 AM TO 9:00 PM,19.091986882987676,72.87133825925352,2267009000
Westside - A Unit Of Trent Limited - 15A,Westside - A Unit Of Trent Limited - 15A; 34/35; Ajmal Khan Road; Karol Bagh; New Delhi; Delhi - 110005,11:00 AM TO 9:00 PM,28.64593698241246,77.18676131508293,9899569297
Lulu Global Mall,Lulu Global Mall;Gopalapura;Binnipete,11:00 AM TO 9:00 PM,12.980914318187226,77.56088851430445,080 61035670
231,231; Sgs Mall; Moledina Road - Camp; Pune - 411001; Maharashtra,11:00 AM TO 9:00 PM,18.51946388740961,73.87551621489273,7276098345
Umiya Velociti Godrej,Umiya Velociti Godrej;Woodsman Estate; Hebbal Kempapura;,11:00 AM TO 9:00 PM,13.051893716643958,77.59169721430511,2267009000
Westside - A Unit Of Trent Limited,Westside - A Unit Of Trent Limited; 39 N. S. Patkar Marg; Opp. Dalvi - Hospital; Mumbai - 400007; Maharashtra,Closed,18.95870448715535,72.80824231489932,7208010425
Divinity Mall,Divinity Mall; Pantharapalya;Kengeri Hobli; Blr South Taluka;Bangalore-Mysore Road,11:00 AM TO 9:00 PM,12.9402316,77.5235039,2267009000
Municipal No. 8 To 32 And 395,Municipal No. 8 To 32 And 395;Survey No. 33 To 39 & 85/1; Situated At Ward 6;Block 6; Plot No. 1; Kavadiguda,11:00 AM TO 9:00 PM,17.427323756121144,78.37210338133859,2267009000
Shillong Patty,Shillong Patty; Next To Women’s College; Shyama Prasad Road; Silchar - 788001; Assam,10:00 AM TO 8:00 PM,24.823200784071613,92.79941891500208,8657489855
Shop No G-35,Shop No G-35; Phonix Palassio Mall ;Amar Shaheed Path;Gomti Nagar Extension,11:00 AM TO 9:00 PM,26.80883180200111,81.01189587169169,2267009000
Anitron Complex,Anitron Complex; Next To Crown Palace Hotel; Makronia Road; Sagar - 470004; Madhya Pradesh,11:00 AM TO 9:00 PM,23.84963408454053,78.78043161498321,8657489852
Mather Esperanza,Mather Esperanza;Sea Port; Airport Road;Chittethukara; Csez Area,11:00 AM TO 9:00 PM,10.001948175746232,76.34595496428206,2267009000
GF,GF; 1F; Cs No. 202/3-S; 202; Kawla Naka;  Opposite To Mary Welness Hospital; Kolhapur - 416003; Maharashtra,Closed,16.71384198848558,74.230450714867,0231-2539114
Utiopia Mall,Utiopia Mall;Garden Grove; Chikuwadi;Borivali (W),11:00 AM TO 9:00 PM,19.221833002368452,72.834501914379,2267009000
Professor Colony,Professor Colony; Krishna Colony; Prem Colony; Yamuna Nagar - 135001; Haryana,10:00 AM TO 7:00 PM,30.138249781848245,77.2913695151173,01732231499
Sy No. 106/1,Sy No. 106/1; Electronics City Phase 1;Dottathoguru;,11:00 AM TO 9:00 PM,12.841573590941284,77.64263401403383,2267009000
Usharam Integra,Usharam Integra;8-1-330-346; Toli Chowki;Beside Reliance Smart,11:00 AM TO 9:00 PM,17.404244456431552,78.40642765794938,2267009000
Pranami Height,Pranami Height; Lalpur Chowk; Circular Road; Lalpur; Beside Kc Roy Memorial Hospital; Ranchi - 834001; Jharkhand,10:30 AM TO 8:00 PM,23.370420284778078,85.33673811497421,+919831154745
Yella Reddy Guda Road,Yella Reddy Guda Road;Near Amerpet Metro Station;Ameerpet,11:00 AM TO 9:00 PM,17.434472188050375,78.44282871410708,2267009000
Rajarhat,Rajarhat; Plot Ii D; 31/1; Action Area Iid; Kolkata - 700157; West Bengal,11:00 AM TO 8:00 PM,22.621700285157434,88.45174631496047,8657540087
Central Plaza,Central Plaza; 1086;Ballupur Chowk; Chakrata Road,11:00 AM TO 9:00 PM,30.38028660958502,77.8173266146019,2267009000
Upper Ground /First Floor,Upper Ground /First Floor; Sarath City Capital Mall; Gachibowli - Miyapur Rd; Whitefields; Kondapur; Hyderabad; Telangana - 500084,11:00 AM TO 9:00 PM,17.457267688036726,78.36086871487733,8657518711
Sr No 234/1 To 4/6/7,Sr No 234/1 To 4/6/7;Plot No. 1 And 2;Hinjewadi,11:00 AM TO 9:00 PM,18.557593776719376,73.75797479781586,2267009000
Lot No. 2,Lot No. 2; Rev Plot No. 726; Khata No. 310; Unit No. 10 Mouza; Satya Nagar; Bhubaneswar - 751003; Odisha,10:00 AM TO 8:00 PM,20.28135488640787,85.83742681492024,0674-2570237/8/9/40
Hilite Mall/Kozhikode,Hilite Mall/Kozhikode;Hilite City; Thondayad Bypass;G A College Po;,11:00 AM TO 9:00 PM,11.248526353378933,75.83142241429042,2267009000
The Retail Park,The Retail Park; Rajyash City;On Brts Road; Central Bopal,11:00 AM TO 9:00 PM,23.046745395441427,72.46438342559948,2267009000
Sashwath Const. Pvt.Ltd.,Sashwath Const. Pvt.Ltd.;Next To Bata Showroom;Kalavasal Junction; Theni Road,11:00 AM TO 9:00 PM,9.93077997694828,78.09240391428158,2267009000
Westside Survey No. 228,Westside Survey No. 228; Old 44;44/1;44/2 (New); Safilguda Village; Malkajgiri Mandal; Medchal Malkjgiri; Secunderabad,12:00 AM TO 11:59 PM,17.459843038695453,78.53604029159222,2267009000
Udeshna Mall . G.S Road Dispur.Near Down Town Hospital - Assam- Guwahati,Udeshna Mall . G.S Road Dispur.Near Down Town Hospital - Assam- Guwahati,11:00 AM TO 9:00 PM,N/A,N/A,8655836916
Westside(A Unit of Trent Ltd) # Arena 100 Ft. main Road,Westside(A Unit of Trent Ltd) # Arena 100 Ft. main Road; Midhilapuri colony Madhurwada,11:00 AM TO 9:00 PM,N/A,N/A,080974 51402
Westside A Unit of Trent Ltd Soul City Mall,Westside A Unit of Trent Ltd Soul City Mall; Plant No. 4 Hotel Radission Blue; Sector 13; Dwarka,11:00 AM TO 9:00 PM,N/A,N/A,089768 44311
Shop No,Shop No,11:00 AM TO 9:00 PM,30.70493918164684,76.8000569151308,8699020292
Rajhans Flamingo,Rajhans Flamingo; Beside Neeru Farm; Near Ankur Vidya Bhavan; Ved Road; Katargam,10:00 AM TO 8:00 PM,N/A,N/A,0261 350 3154
D’cove,D’cove; Thiruvanmiyur; Rajaji Nagar; ECR Main road; Opposite TITAN Showroom; Thiruvanmiyur Chennai 600 041.,11:00 AM TO 9:00 PM,N/A,N/A,8097451667
Kompally ,Kompally ; Hyderabad; Near Bommarillu Restaurant; Hero Honda Service Centre; Suchitra Junction; Kompally,11:00 AM TO 9:00 PM,N/A,N/A,040 2723 5120
11-13-194/1,11-13-194/1; National Highway 65; polkampally; Margadarshi Colony; Kothapet,11:00 AM TO 9:00 PM,N/A,N/A,040 2955 6532
Nehru Nagar,Nehru Nagar; Rajkot; Gujarat 360007,10:30 AM TO 8:30 PM,22.29860787200951,70.78070774749558,07045120439
Club Road,Club Road; Mithanpura; Near MDDM College;Muzaffarpur; Bihar,11:00 AM TO 9:00 PM,N/A,N/A,8657926735
Bhartiya city centre,Bhartiya city centre; next to Hotel leela palace; near nikkoo homes; Thanisandra main road; Chokannahalli; Hegde nagar; Bengaluru 560064,10:00 AM TO 9:00 PM,13.0832941,77.6434728,8657964628
Mall,Mall; Gomati Nagar; Lucknow-226010; Uttar Pradesh,Closed,26.863079983148996,80.9960113150439,8657401865
"""Newa Techno City","""Newa Techno City; Unit no 8;9&10
Ground & first Floor; Plot no IT 6;
Airoli Knowledge Park;TTC Industrial Area;Airoli""",11:00 AM TO 9:00 PM,19.1115599,72.9898217,9672992150
"""Ananta Stallion","""Ananta Stallion; 
Next to Sears Tower;
Gotri Sevasi Main Road;
Vadodara - 391101""",11:00 AM TO 9:00 PM,22.318295202931015,73.12228786110252,8655836917
City Gold Centre 1,City Gold Centre 1; Opp. R.A.F Camp; Nr. Ramol toll plaza; SP Ring road; Vastral,10:00 AM TO 9:00 PM,22.9872502,72.6639633,8655912098
GT Galleria 2 Krishna Marg,GT Galleria 2 Krishna Marg; C scheme Jaipur,11:00 AM TO 9:00 PM,26.9101077,75.8030482,8655912091/8655912092
R square,R square; chala,11:00 AM TO 9:00 PM,20.3831588,72.9031834,9763693341
Chennai City Centre Mall,Chennai City Centre Mall; No,11:00 AM TO 9:00 PM,13.04312,80.2715813,8655912066
Solaris Business hub,Solaris Business hub; Opp. The national higher secondary school; Sola road; Naranpura,11:00 AM TO 9:00 PM,23.0583112,72.5388742,8983039667
